,region,population,date
0,Berlin,3395189,31.12.2005
1,Berlin,3404037,31.12.2006
2,Berlin,3416255,31.12.2007
3,Berlin,3431675,31.12.2008
4,Berlin,3442675,31.12.2009
5,Berlin,3460725,31.12.2010
6,Berlin,3326002,31.12.2011
7,Berlin,3375222,31.12.2012
8,Berlin,3421829,31.12.2013
9,Berlin,3469849,31.12.2014
10,Berlin,3520031,31.12.2015
11,Berlin,3574830,31.12.2016
12,Berlin,3613495,31.12.2017
13,Berlin,3644826,31.12.2018
14,Mitte,322744,31.12.2005
15,Mitte,326422,31.12.2006
16,Mitte,328428,31.12.2007
17,Mitte,329592,31.12.2008
18,Mitte,333437,31.12.2009
19,Mitte,333199,31.12.2010
20,Mitte,322260,31.12.2011
21,Mitte,329969,31.12.2012
22,Mitte,337593,31.12.2013
23,Friedrichshain-Kreuzberg,261811,31.12.2005
24,Friedrichshain-Kreuzberg,265857,31.12.2006
25,Friedrichshain-Kreuzberg,267919,31.12.2007
26,Friedrichshain-Kreuzberg,270572,31.12.2008
27,Friedrichshain-Kreuzberg,268839,31.12.2009
28,Friedrichshain-Kreuzberg,270158,31.12.2010
29,Friedrichshain-Kreuzberg,254695,31.12.2011
30,Friedrichshain-Kreuzberg,259483,31.12.2012
31,Friedrichshain-Kreuzberg,263526,31.12.2013
32,Pankow,353910,31.12.2005
33,Pankow,358210,31.12.2006
34,Pankow,363601,31.12.2007
35,Pankow,366899,31.12.2008
36,Pankow,365697,31.12.2009
37,Pankow,370938,31.12.2010
38,Pankow,358505,31.12.2011
39,Pankow,364794,31.12.2012
40,Pankow,371438,31.12.2013
41,Charlottenburg-Wilmersdorf,315080,31.12.2005
42,Charlottenburg-Wilmersdorf,315557,31.12.2006
43,Charlottenburg-Wilmersdorf,316887,31.12.2007
44,Charlottenburg-Wilmersdorf,318208,31.12.2008
45,Charlottenburg-Wilmersdorf,320087,31.12.2009
46,Charlottenburg-Wilmersdorf,320458,31.12.2010
47,Charlottenburg-Wilmersdorf,293527,31.12.2011
48,Charlottenburg-Wilmersdorf,298567,31.12.2012
49,Charlottenburg-Wilmersdorf,302313,31.12.2013
50,Spandau,225042,31.12.2005
51,Spandau,224304,31.12.2006
52,Spandau,223652,31.12.2007
53,Spandau,223813,31.12.2008
54,Spandau,223724,31.12.2009
55,Spandau,226240,31.12.2010
56,Spandau,216105,31.12.2011
57,Spandau,218935,31.12.2012
58,Spandau,222300,31.12.2013
59,Steglitz-Zehlendorf,288670,31.12.2005
60,Steglitz-Zehlendorf,288575,31.12.2006
61,Steglitz-Zehlendorf,290305,31.12.2007
62,Steglitz-Zehlendorf,291871,31.12.2008
63,Steglitz-Zehlendorf,293725,31.12.2009
64,Steglitz-Zehlendorf,295737,31.12.2010
65,Steglitz-Zehlendorf,278936,31.12.2011
66,Steglitz-Zehlendorf,281604,31.12.2012
67,Steglitz-Zehlendorf,284313,31.12.2013
68,Tempelhof-Schöneberg,333163,31.12.2005
69,Tempelhof-Schöneberg,332066,31.12.2006
70,Tempelhof-Schöneberg,331790,31.12.2007
71,Tempelhof-Schöneberg,333110,31.12.2008
72,Tempelhof-Schöneberg,334993,31.12.2009
73,Tempelhof-Schöneberg,336144,31.12.2010
74,Tempelhof-Schöneberg,319274,31.12.2011
75,Tempelhof-Schöneberg,320917,31.12.2012
76,Tempelhof-Schöneberg,324208,31.12.2013
77,Neukölln,305900,31.12.2005
78,Neukölln,305458,31.12.2006
79,Neukölln,306713,31.12.2007
80,Neukölln,309892,31.12.2008
81,Neukölln,312367,31.12.2009
82,Neukölln,312158,31.12.2010
83,Neukölln,303045,31.12.2011
84,Neukölln,308342,31.12.2012
85,Neukölln,311943,31.12.2013
86,Treptow-Köpenick,235336,31.12.2005
87,Treptow-Köpenick,236524,31.12.2006
88,Treptow-Köpenick,237777,31.12.2007
89,Treptow-Köpenick,239405,31.12.2008
90,Treptow-Köpenick,241052,31.12.2009
91,Treptow-Köpenick,242583,31.12.2010
92,Treptow-Köpenick,239472,31.12.2011
93,Treptow-Köpenick,242000,31.12.2012
94,Treptow-Köpenick,244016,31.12.2013
95,Marzahn-Hellersdorf,250413,31.12.2005
96,Marzahn-Hellersdorf,249881,31.12.2006
97,Marzahn-Hellersdorf,249351,31.12.2007
98,Marzahn-Hellersdorf,248150,31.12.2008
99,Marzahn-Hellersdorf,248026,31.12.2009
100,Marzahn-Hellersdorf,249982,31.12.2010
101,Marzahn-Hellersdorf,245929,31.12.2011
102,Marzahn-Hellersdorf,248786,31.12.2012
103,Marzahn-Hellersdorf,251007,31.12.2013
104,Lichtenberg,258894,31.12.2005
105,Lichtenberg,258738,31.12.2006
106,Lichtenberg,258098,31.12.2007
107,Lichtenberg,258869,31.12.2008
108,Lichtenberg,259663,31.12.2009
109,Lichtenberg,261617,31.12.2010
110,Lichtenberg,254188,31.12.2011
111,Lichtenberg,258586,31.12.2012
112,Lichtenberg,262760,31.12.2013
113,Reinickendorf,244226,31.12.2005
114,Reinickendorf,242445,31.12.2006
115,Reinickendorf,241734,31.12.2007
116,Reinickendorf,241294,31.12.2008
117,Reinickendorf,241065,31.12.2009
118,Reinickendorf,241511,31.12.2010
119,Reinickendorf,240066,31.12.2011
120,Reinickendorf,243239,31.12.2012
121,Reinickendorf,246412,31.12.2013
